ITEM,DATE:QUANTITY
DTVX,22/01/2025:1,24/01/2025:2,26/01/2025:1,01/02/2025:1
Jarra Inox,22/01/2025:2,24/01/2025:3,23/01/2025:1,01/02/2025:3
Jarra Vidrio,22/01/2025:3,25/01/2025:2,27/01/2025:2,28/01/2025:2
Camisa Fem,22/01/2025:9,25/01/2025:2,28/01/2025:1
Calzinha Fem,22/01/2025:1,01/02/2025:33
Cobreleito Queen,22/01/2025:1
Fone c/cabo,22/01/2025:1,25/01/2025:1
Ventilador Commun,22/01/2025:2,23/01/2025:1,25/01/2025:1,28/01/2025:2,30/01/2025:1,01/02/2025:3
Frigideira G6,24/01/2025:1
MK-B12,24/01/2025:1,30/01/2025:1
Luz de Emergencia B3/4,23/01/2025:2,24/01/2025:1
Toalla Banho,24/01/2025:3,25/01/2025:9,27/01/2025:12,29/01/2025:4,30/01/2025:4,31/01/2025:3,01/02/2025:30
Ventialdor graus360,23/01/2025:2,24/01/2025:1
Lanterna de Cabeca B3-1,24/01/2025:1,27/01/2025:1,31/01/2025:1
Macacao,23/01/2025:1,24/01/2025:2,25/01/2025:3,27/01/2025:1,01/02/2025:1
Blusa Femenina,24/01/2025:4,25/01/2025:1,29/01/2025:3
Lanterna AB028,23/01/2025:2,25/01/2025:2,27/01/2025:2,31/01/2025:2,01/02/2025:1
Lanterna Militar B3/2,23/01/2025:2
Cobreleito Solteiro,23/01/2025:1,01/02/2025:2
Disco,25/01/2025:2
Controle PS4 A2/8,25/01/2025:1,29/01/2025:1
Fone Gaming AB018,25/01/2025:1,01/02/2025:2
Reloj Despertador,25/01/2025:2,29/01/2025:1
Lampada c/Sensor AB038,25/01/2025:3,27/01/2025:1
Toalla Rostro,25/01/2025:3,28/01/2025:6,01/02/2025:4
Caja AB049,25/01/2025:2,29/01/2025:2,30/01/2025:3,01/02/2025:5
Cenizero Cuadrada,25/01/2025:3,27/01/2025:2
Lencol Solteiro,25/01/2025:1
Meia Termica Colorida,25/01/2025:1
Tapete Banheiro,25/01/2025:1,29/01/2025:1,30/01/2025:1
Amasador de Madeira,27/01/2025:1,01/02/2025:1
Prato Acr Gra,27/01/2025:2
Talher F-5,27/01/2025:2,28/01/2025:1,31/01/2025:1,01/02/2025:1
Jeans,28/01/2025:2
Sueteres,28/01/2025:3
Meia Masculina,28/01/2025:1,31/01/2025:1
Ventilador Blanco,28/01/2025:1,31/01/2025:3
Lanterna AB021,28/01/2025:1
Lanterna X900 AB022,28/01/2025:1,30/01/2025:1,01/02/2025:2
Lampada c/Musica AB033,28/01/2025:1
Corta vento masculino,28/01/2025:1
kit talher,29/01/2025:1
Bateria samsung,29/01/2025:1
Toca c/Cuello,29/01/2025:2,01/02/2025:3
Balanca de banho AB001,29/01/2025:1,30/01/2025:1,31/01/2025:1,01/02/2025:2
Luz de Emergencia AB031,30/01/2025:1
Lampada led,30/01/2025:4
Lanterna de Cabeca Rec,30/01/2025:1,31/01/2025:1
Jogo Panela c/mano,30/01/2025:1
Jogo Panela L-8,30/01/2025:1
Lanterna QE506,30/01/2025:1
Jogo Xicara cafe,31/01/2025:6
Cueca Masculina,31/01/2025:6,01/02/2025:1
Lixeira B10-2-1,31/01/2025:1
Top Femenina,31/01/2025:2
Luva Moto Forrada,31/01/2025:2,01/02/2025:3
Baby Doll,31/01/2025:2
Ventilador 360,31/01/2025:1,01/02/2025:1,02/02/2025:1
Pijama Teddy,01/02/2025:1
Jaqueta Perida Masculina,01/02/2025:2
Jaqueta Selected,01/02/2025:1
Luz Camping c/Ven B2-7,01/02/2025:2
Meia Forrada,01/02/2025:1
Jarra com Termostato,01/02/2025:6
Controle PS4 A2-8,01/02/2025:2
Jarra Mega,01/02/2025:6
Copo Cerveja,01/02/2025:12
Meia Corta,01/02/2025:2
Copo Termico,01/02/2025:4
Lanterna Pilha AB027,01/02/2025:2
A1-5,01/02/2025:1
Jogo de Parede,01/02/2025:1
Lencol Casal,02/02/2025:2
Prato Vidrio,02/02/2025:1
